original_contract_id,current_item_id,department_name,vendor,contract_structure_type,short_desc,start_dt,end_dt,days_remaining,amt ,tot_payments ,orig_vendor,exempt_status,adv_or_exempt,profit_status
MPXX19000133,MPXX19000133,CITY CONTROLLERS OFFICE,Becker Professional Development Corporation,Miscellaneous Order,Provide CPA Exam Review,7/31/2018,6/30/2019,180,"20,000.00","1,396.50",Becker Professional Development Corporation,102,EXEMPT,For Profit
1520399,152039903,CITY CONTROLLERS OFFICE,CCH Inc,Computer and Information Svcs,Engagement Maint/Knowledg,3/31/2018,3/30/2019,88,"50,940.79","44,674.00",CCH Inc,1,ADVERTISED,For Profit
MPXX19000091,MPXX19000091,CITY CONTROLLERS OFFICE,CliftonLarsonAllen LLP,Miscellaneous Order,Technical Consulting Serv,7/13/2018,6/30/2019,180,"29,700.00","1,320.00",CliftonLarsonAllen LLP,102,EXEMPT,For Profit
MPXX19000060,MPXX19000060,CITY CONTROLLERS OFFICE,James J. McNichol,Miscellaneous Order,Perform reviews of audits,7/2/2018,6/30/2019,180,"32,000.00","15,700.00",James J. McNichol,102,EXEMPT,For Profit
1720457,172045701,CITY CONTROLLERS OFFICE,LHV Financial Advisors,General Consultant Services,Financial Advisor,10/30/2017,10/29/2018,0,"50,000.00","31,875.00",LHV Financial Advisors,1,ADVERTISED,For Profit
MPXX19000059,MPXX19000059,CITY CONTROLLERS OFFICE,"Surgent McCoy, CPE",Miscellaneous Order,Two-day training seminar.,7/2/2018,6/30/2019,180,"14,286.00","9,985.07","Surgent McCoy, CPE",102,EXEMPT,Non Profit
MPXX19000187,MPXX19000187,CITY CONTROLLERS OFFICE,YIKES INC,Miscellaneous Order,Website Design & Support,7/1/2018,6/30/2019,180,"18,788.00","18,788.00",YIKES INC,102,EXEMPT,For Profit
MPXX19000134,MPXX19000134,CITY COUNCIL,"ABF MudRun, LLC",Miscellaneous Order,Coordinate Philly Play,7/27/2018,6/30/2019,180,"17,950.00","17,950.00","ABF MudRun, LLC",102,EXEMPT,For Profit
MPXX19000108,MPXX19000108,CITY COUNCIL,"Deaf Hearing Communication Centre, Inc",Miscellaneous Order,interpretation services,7/1/2018,6/30/2019,180,"32,000.00","6,438.93","Deaf Hearing Communication Centre, Inc",102,EXEMPT,Non Profit
MPXX19000182,MPXX19000182,CITY COUNCIL,"EConsult Solutions, Inc",Miscellaneous Order,policy consulting,9/6/2018,6/30/2019,180,"34,000.00", -   ,"EConsult Solutions, Inc",102,EXEMPT,For Profit
MPXX19000117,MPXX19000117,CITY COUNCIL,"ESRI, Inc.",Miscellaneous Order,GIS services,7/1/2018,6/30/2019,180,"4,540.00","4,086.00","ESRI, Inc.",102,EXEMPT,For Profit
MPXX19000079,MPXX19000079,CITY COUNCIL,Eric Auerbach,Miscellaneous Order,consulting services,7/1/2018,6/30/2019,180,"30,000.00","15,000.00",Eric Auerbach,102,EXEMPT,For Profit
1820407,1820407,CITY COUNCIL,"Granicus, Inc.",Computer and Information Svcs,legislative tracking,5/1/2018,4/30/2019,119,"45,000.00", -   ,"Granicus, Inc.",1,ADVERTISED,For Profit
1820538,1820538,CITY COUNCIL,"HR&A Advisors, Inc",General Consultant Services,poverty reduction RFP,2/22/2018,2/21/2019,51,"75,000.00","50,000.00","HR&A Advisors, Inc",1,ADVERTISED,For Profit
1820442,1820442,CITY COUNCIL,"Hill International, Inc.",General Consultant Services,Project Manager,1/2/2018,1/1/2019,0,"400,000.00","14,870.50","Hill International, Inc.",1,ADVERTISED,For Profit
1820582,1820582,CITY COUNCIL,"J.F. Ryan Associates, Inc.",Accounting and Auditing Svcs,Audit of the OPA,6/14/2018,6/13/2019,163,"160,000.00","160,000.00","J.F. Ryan Associates, Inc.",1,ADVERTISED,For Profit
MPXX19000116,MPXX19000116,CITY COUNCIL,Keel Communications & Government Relations LLC,Miscellaneous Order,communication services,7/1/2018,6/30/2019,180,"30,000.00","15,000.00",Keel Communications & Government Relations LLC,102,EXEMPT,For Profit
MPXX19000275,MPXX19000275,CITY COUNCIL,"Kennedy Printing Company, Inc",Miscellaneous Order,newsletter distribution,12/17/2018,6/30/2019,180,"10,000.00","9,960.89","Kennedy Printing Company, Inc",102,EXEMPT,For Profit
1820224,182022401,CITY COUNCIL,Kimmel Group Inc.,General Consultant Services,Desktop support,7/1/2018,6/30/2019,180,"206,000.00","80,155.00",Kimmel Group Inc.,1,ADVERTISED,For Profit
MPXX19000183,MPXX19000183,CITY COUNCIL,"Reinvestment Fund, Inc.",Miscellaneous Order,policy consulting,9/6/2018,6/30/2019,180,"34,000.00", -   ,"Reinvestment Fund, Inc.",102,EXEMPT,Non Profit
1820093,182009301,CITY COUNCIL,"WURD Radio, LLC fka LEVAS Communications, LLC",General Consultant Services,live radio broadcasts,8/1/2018,7/31/2019,211,"70,000.00","35,000.00","WURD Radio, LLC fka LEVAS Communications, LLC",1,ADVERTISED,For Profit
MPXX19000215,MPXX19000215,CITY TREASURER,AMTEC,Miscellaneous Order,Verification Agent,7/1/2018,6/30/2019,180,1, -   ,AMTEC,102,EXEMPT,For Profit
1720649,172064901,CITY TREASURER,ANDRE C DASENT P C,Legal Services,Bond Counsel - Water/PGW,1/1/2018,12/31/2018,0, -   , -   ,ANDRE C DASENT P C,1,ADVERTISED,For Profit
1620362,162036202,CITY TREASURER,"Acacia Financial Group, Inc.",General Consultant Services,Water FA,1/1/2018,12/31/2018,0,"50,000.00","11,196.30","Acacia Financial Group, Inc.",1,ADVERTISED,For Profit
1720201,172020102,CITY TREASURER,"Acacia Financial Group, Inc.",General Consultant Services,GO FA,8/1/2018,7/31/2019,211, -   , -   ,"Acacia Financial Group, Inc.",1,ADVERTISED,For Profit
1520434,152043403,CITY TREASURER,Ahmad Zaffarese LLC,Legal Services,Bond & Disclosure Counsel,12/15/2017,12/14/2018,0, -   , -   ,Ahmad Zaffarese LLC,1,ADVERTISED,For Profit
1620441,162044102,CITY TREASURER,Ahmad Zaffarese LLC,Legal Services,Legal Services - TRAN,6/1/2018,5/31/2019,150, -   , -   ,Ahmad Zaffarese LLC,1,ADVERTISED,For Profit
1720658,172065802,CITY TREASURER,Ahmad Zaffarese LLC,Legal Services,BC Water and DC PGW,1/1/2018,12/31/2018,0, -   , -   ,Ahmad Zaffarese LLC,1,ADVERTISED,For Profit
1520439,152043903,CITY TREASURER,"Ann C. Lebowitz, Esq. d/b/a Law Office of Ann C. Lebowitz",Legal Services,GF Disclosure Counsel,12/15/2017,12/14/2018,0, -   , -   ,"Ann C. Lebowitz, Esq. d/b/a Law Office of Ann C. Lebowitz",1,ADVERTISED,For Profit
1520435,152043503,CITY TREASURER,Ballard Spahr LLP,Legal Services,Bond/Disclosure Counsel,12/15/2017,12/14/2018,0, -   , -   ,Ballard Spahr LLP,1,ADVERTISED,For Profit
1720643,172064301,CITY TREASURER,Ballard Spahr LLP,Legal Services,Bond Counsel Water,1/1/2018,12/31/2018,0,"200,000.00","3,110.00",Ballard Spahr LLP,1,ADVERTISED,For Profit
1520302,152030203,CITY TREASURER,"BlackRock Capital Management, Inc.",Investment Advisor-Manager,Investment Manager,1/1/2018,12/31/2018,0, -   , -   ,"BlackRock Capital Management, Inc.",1,ADVERTISED,For Profit
1820003,182000301,CITY TREASURER,Citizens Bank of Pennsylvania,General Consultant Services,Payroll Banking Services,7/1/2018,6/30/2019,180, -   , -   ,Citizens Bank of Pennsylvania,1,ADVERTISED,For Profit
1820267,182026701,CITY TREASURER,Citizens Bank of Pennsylvania,General Consultant Services,Pension Banking Services,9/1/2018,8/31/2019,242, -   , -   ,Citizens Bank of Pennsylvania,1,ADVERTISED,For Profit
